Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,Year,Month,Month_Name,Quarter,Day,Weekday,Weekend_Flag,Revenue_Category,Churn_Status,Inventory_Risk,Order_Size,Recency,Frequency,Monetary,Cluster,Segment,Churn,Churn_Prediction
503546,20727,LUNCH BAG  BLACK SKULL.,10,2010-04-01 14:51:00,1.65,16351.0,United Kingdom,16.5,2010,4,April,2,1,Thursday,False,Low,At Risk,Low Risk,Small,333,13,3330.03,0,VIP,1,1
538508,21584,RETROSPOT SMALL TUBE MATCHES,6,2010-12-12 13:32:00,1.65,15998.0,United Kingdom,9.9,2010,12,December,4,12,Sunday,True,Low,Active,Low Risk,Small,37,16,8308.34,1,Regular,0,0
555586,22595,GINGHAM HEART DECORATION,12,2011-06-06 09:12:00,0.85,14232.0,United Kingdom,10.2,2011,6,June,2,6,Monday,False,Low,Active,Low Risk,Small,43,5,2048.07,1,Regular,0,0
527890,22714,CARD BIRTHDAY COWBOY,12,2010-10-19 12:15:00,0.42,17365.0,United Kingdom,5.04,2010,10,October,4,19,Tuesday,False,Low,Active,Low Risk,Small,13,15,8224.98,1,Regular,0,0
546005,85194L,HANGING SPRING FLOWER EGG LARGE,12,2011-03-08 15:17:00,0.85,14426.0,United Kingdom,10.2,2011,3,March,1,8,Tuesday,False,Low,Active,Low Risk,Small,24,17,11727.94,1,Regular,0,0
531736,22121,NOEL WOODEN BLOCK LETTERS ,3,2010-11-09 12:29:00,5.95,14243.0,United Kingdom,17.85,2010,11,November,4,9,Tuesday,False,Low,Active,High Risk,Small,9,17,7431.05,1,Regular,0,0
546679,20974,12 PENCILS SMALL TUBE SKULL,3,2011-03-15 16:47:00,0.65,13121.0,United Kingdom,1.95,2011,3,March,1,15,Tuesday,False,Low,At Risk,High Risk,Small,269,1,283.73,0,VIP,1,1
555501,23172,REGENCY TEA PLATE PINK,3,2011-06-03 15:37:00,1.65,15508.0,United Kingdom,4.949999999999999,2011,6,June,2,3,Friday,False,Low,At Risk,High Risk,Small,189,6,1000.27,1,Regular,1,1
512889,21899,"KEY FOB , GARAGE DESIGN",5,2010-06-18 12:04:00,0.65,16797.0,United Kingdom,3.25,2010,6,June,2,18,Friday,False,Low,At Risk,Low Risk,Small,393,5,1827.77,0,VIP,1,1
523195,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,100,2010-09-21 08:25:00,1.65,13802.0,United Kingdom,165.0,2010,9,September,3,21,Tuesday,False,Medium,At Risk,Low Risk,Medium,139,19,26259.11,1,Regular,1,1
560555,22979,PANTRY WASHING UP BRUSH,1,2011-07-19 13:01:00,1.45,14178.0,United Kingdom,1.45,2011,7,July,3,19,Tuesday,False,Low,Active,High Risk,Small,9,7,1620.93,1,Regular,0,0
534219,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,1,2010-11-21 16:13:00,0.42,13230.0,United Kingdom,0.42,2010,11,November,4,21,Sunday,True,Low,Active,High Risk,Small,4,30,6360.78,1,Regular,0,0
550784,23184,BULL DOG BOTTLE OPENER,4,2011-04-20 13:59:00,4.95,13269.0,United Kingdom,19.8,2011,4,April,2,20,Wednesday,False,Low,Active,High Risk,Small,1,28,8891.7,1,Regular,0,0
526753,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-10-13 10:12:00,6.45,13267.0,United Kingdom,19.35,2010,10,October,4,13,Wednesday,False,Low,Active,High Risk,Small,3,36,9758.26,1,Regular,0,0
565853,22030,SWALLOWS GREETING CARD,12,2011-09-07 13:19:00,0.42,13756.0,United Kingdom,5.04,2011,9,September,3,7,Wednesday,False,Low,Active,Low Risk,Small,2,23,9207.5,1,Regular,0,0
499284,22317,FIVE CATS HANGING DECORATION,6,2010-02-25 18:58:00,2.95,14770.0,United Kingdom,17.700000000000003,2010,2,February,1,25,Thursday,False,Low,At Risk,Low Risk,Small,232,8,3637.64,1,Regular,1,1
537440,22503,CABIN BAG VINTAGE PAISLEY,1,2010-12-06 17:16:00,29.95,17869.0,United Kingdom,29.95,2010,12,December,4,6,Monday,False,Low,At Risk,High Risk,Small,107,7,1036.16,1,Regular,1,1
494897,20749,ASSORTED COLOUR MINI CASES,4,2010-01-19 14:16:00,7.95,12437.0,France,31.8,2010,1,January,1,19,Tuesday,False,Low,Active,High Risk,Small,2,39,12683.4,1,Regular,0,0
497382,21537,RETRO SPOTS PUDDING BOWL,1,2010-02-09 11:50:00,4.25,14680.0,United Kingdom,4.25,2010,2,February,1,9,Tuesday,False,Low,Active,High Risk,Small,25,58,57412.77,2,Loyal,0,0
512807,22583,PACK OF 6 HANDBAG GIFT BOXES,2,2010-06-18 11:21:00,2.55,14646.0,Netherlands,5.1,2010,6,June,2,18,Friday,False,Low,Active,High Risk,Small,2,151,528602.52,3,At Risk,0,0
509410,22563,HAPPY STENCIL CRAFT,6,2010-05-23 12:07:00,1.25,17769.0,United Kingdom,7.5,2010,5,May,2,23,Sunday,True,Low,Active,Low Risk,Small,13,17,7103.08,1,Regular,0,0
512422,21829,DINOSAUR KEYRINGS ASSORTED,36,2010-06-15 14:33:00,0.21,13477.0,United Kingdom,7.56,2010,6,June,2,15,Tuesday,False,Low,Active,Low Risk,Small,38,11,2834.17,1,Regular,0,0
553038,23191,BUNDLE OF 3 RETRO NOTE BOOKS,12,2011-05-13 08:11:00,1.65,12471.0,Germany,19.8,2011,5,May,2,13,Friday,False,Low,Active,Low Risk,Small,2,79,39963.79,2,Loyal,0,0
550350,22197,SMALL POPCORN HOLDER,12,2011-04-18 10:04:00,0.85,15491.0,United Kingdom,10.2,2011,4,April,2,18,Monday,False,Low,At Risk,Low Risk,Small,95,6,3100.09,1,Regular,1,1
541256,22730,ALARM CLOCK BAKELIKE IVORY,2,2011-01-16 14:36:00,3.75,13048.0,United Kingdom,7.5,2011,1,January,1,16,Sunday,True,Low,Active,High Risk,Small,14,9,4084.21,1,Regular,0,0
